Acid Type,Quantity,Storage Temperature,Container Material,Exposure Time,Ventilation Quality,Safety Equipment,Storage Area,Previous Incident,Risk Level
Boric Acid (H₃BO₃),37,28,Fiber-Reinforced Plastic (FRP),24,High,"Respirator Mask, Chemical-resistant Gloves, Full Body Protective Suit",Underground Storage,Acid Spill,MEDIUM RISK
Hydrofluoric Acid (HF),28,25,Ceramic Containers,37,High,Face Shield,Hazardous Material Room,Toxic Gas Release,MEDIUM RISK
Malic Acid (C₄H₆O₅),46,37,Fiber-Reinforced Plastic (FRP),31,Poor,"Chemical-resistant Gloves, Face Shield, Gloves, Chemical Suit",Outdoor Storage,None,MEDIUM RISK
Salicylic Acid (C₇H₆O₃),6,30,Carbon Steel (coated),1,Industrial Ventilation System,"Face Shield, Respirator Mask, Gloves, Full Body Protective Suit, Safety Goggles",Cold Storage Unit,Acid Spill,LOW RISK
Periodic Acid (HIO₄),57,41,Stainless Steel,88,Industrial Ventilation System,"Safety Goggles, Chemical Suit, Gloves, Face Shield",Outdoor Storage,Acid Spill,HIGH RISK
Gluconic Acid (C₆H₁₂O₇),7,30,Stainless Steel,2,Low,"Face Shield, Respirator Mask",Warehouse,Corrosion Damage,LOW RISK
Chromic Acid (H₂CrO₄),61,68,Polypropylene,69,Low,"Respirator Mask, Chemical-resistant Gloves, Safety Boots",Laboratory,Acid Burn,HIGH RISK
Malic Acid (C₄H₆O₅),159,51,Ceramic Containers,89,High,"Lab Coat, Eye Wash Station Access, Safety Boots, Chemical Suit, Safety Goggles",Outdoor Storage,Container Leakage,HIGH RISK
Pyruvic Acid (C₃H₄O₃),40,34,Stainless Steel,39,Good,"Chemical Suit, Lab Coat, Safety Boots, Safety Goggles",Hazardous Material Room,Acid Burn,MEDIUM RISK
Malic Acid (C₄H₆O₅),10,24,Ceramic Containers,2,High,Respirator Mask,Outdoor Storage,None,LOW RISK
Caproic Acid (C₆H₁₂O₂),39,26,PTFE (Teflon-lined),30,Moderate,"Gloves, Eye Wash Station Access, Respirator Mask",Outdoor Storage,Explosion Risk,MEDIUM RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),15,15,PVC (Polyvinyl Chloride),8,Good,"Eye Wash Station Access, Chemical Suit",Factory Floor,Fire Hazard,LOW RISK
Carbonic Acid (H₂CO₃),173,86,PTFE (Teflon-lined),175,Industrial Ventilation System,Full Body Protective Suit,Cold Storage Unit,Toxic Gas Release,CRITICAL RISK
Thiocyanic Acid (HSCN),15,22,Borosilicate Glass,8,Good,Full Body Protective Suit,Factory Floor,None,LOW RISK
Monochloroacetic Acid (C₂H₃ClO₂),10,31,Carbon Steel (coated),26,Industrial Ventilation System,"Safety Boots, Face Shield",Laboratory,Acid Burn,MEDIUM RISK
Acrylic Acid (C₃H₄O₂),27,39,Polypropylene,25,Good,"Chemical Suit, Safety Boots",Laboratory,None,MEDIUM RISK
Benzoic Acid (C₇H₆O₂),324,92,Borosilicate Glass,193,Low,Eye Wash Station Access,Factory Floor,Toxic Gas Release,CRITICAL RISK
Citric Acid (C₆H₈O₇),64,52,Carbon Steel (coated),46,Moderate,"Chemical Suit, Safety Boots, Face Shield, Safety Goggles",Outdoor Storage,Acid Spill,HIGH RISK
Fumaric Acid (C₄H₄O₄),47,41,Borosilicate Glass,28,Moderate,"Respirator Mask, Chemical-resistant Gloves, Eye Wash Station Access",Hazardous Material Room,Acid Spill,MEDIUM RISK
Perchloric Acid (HClO₄),89,66,HDPE Plastic,69,Industrial Ventilation System,"Safety Boots, Lab Coat",Laboratory,Corrosion Damage,HIGH RISK
Ascorbic Acid (C₆H₈O₆),8,27,Ceramic Containers,15,Good,"Respirator Mask, Safety Goggles, Eye Wash Station Access, Chemical Suit, Safety Boots",Cold Storage Unit,Acid Spill,LOW RISK
Arsenic Acid (H₃AsO₄),16,27,Glass,31,Moderate,"Chemical Suit, Safety Goggles, Safety Boots, Respirator Mask",Outdoor Storage,Explosion Risk,MEDIUM RISK
Iodic Acid (HIO₃),9,19,Glass,9,Poor,"Respirator Mask, Gloves",Underground Storage,Explosion Risk,LOW RISK
Periodic Acid (HIO₄),55,38,Ceramic Containers,27,Poor,"Chemical Suit, Full Body Protective Suit, Face Shield, Chemical-resistant Gloves",Hazardous Material Room,Container Leakage,MEDIUM RISK
Malic Acid (C₄H₆O₅),9,23,Polypropylene,0,Moderate,"Safety Boots, Safety Goggles, Respirator Mask, Chemical Suit, Gloves",Cold Storage Unit,None,LOW RISK
Silicic Acid (H₄SiO₄),28,33,Fiber-Reinforced Plastic (FRP),13,Fume Hood Ventilation,"Chemical-resistant Gloves, Eye Wash Station Access, Safety Goggles, Lab Coat, Safety Boots",Warehouse,None,MEDIUM RISK
Tartaric Acid (C₄H₆O₆),14,23,PVC (Polyvinyl Chloride),7,High,Face Shield,Warehouse,Fire Hazard,LOW RISK
Peracetic Acid (C₂H₄O₃),441,106,Carbon Steel (coated),149,Fume Hood Ventilation,"Lab Coat, Face Shield, Chemical-resistant Gloves, Eye Wash Station Access, Full Body Protective Suit",Hazardous Material Room,Explosion Risk,CRITICAL RISK
Tartaric Acid (C₄H₆O₆),32,27,Stainless Steel,35,Poor,"Respirator Mask, Lab Coat, Eye Wash Station Access, Chemical Suit, Gloves",Hazardous Material Room,Explosion Risk,MEDIUM RISK
Oxalic Acid (C₂H₂O₄),12,29,Glass,11,High,"Safety Goggles, Safety Boots, Chemical-resistant Gloves, Full Body Protective Suit",Warehouse,Acid Spill,LOW RISK
Adipic Acid (C₆H₁₀O₄),105,70,HDPE Plastic,92,Fume Hood Ventilation,"Chemical Suit, Safety Goggles, Face Shield",Underground Storage,Acid Spill,HIGH RISK
Iodic Acid (HIO₃),242,89,Polypropylene,99,Industrial Ventilation System,"Eye Wash Station Access, Chemical-resistant Gloves, Chemical Suit, Lab Coat",Chemical Storage Room,Corrosion Damage,CRITICAL RISK
Peracetic Acid (C₂H₄O₃),445,98,PVC (Polyvinyl Chloride),173,Poor,"Gloves, Face Shield, Safety Boots",Chemical Storage Room,Corrosion Damage,CRITICAL RISK
Sulfuric Acid (H₂SO₄),1,19,Fiber-Reinforced Plastic (FRP),3,Moderate,"Chemical-resistant Gloves, Full Body Protective Suit, Chemical Suit, Face Shield",Hazardous Material Room,Container Leakage,LOW RISK
Hypochlorous Acid (HClO),107,71,Fiber-Reinforced Plastic (FRP),36,High,"Safety Boots, Chemical Suit, Full Body Protective Suit, Face Shield, Lab Coat",Hazardous Material Room,Fire Hazard,HIGH RISK
Tannic Acid (C₇₆H₅₂O₄₆),29,28,Glass,23,Poor,"Lab Coat, Face Shield, Eye Wash Station Access, Safety Goggles, Full Body Protective Suit",Cold Storage Unit,Fire Hazard,MEDIUM RISK
Lactic Acid (C₃H₆O₃),475,89,Glass,184,Moderate,"Full Body Protective Suit, Eye Wash Station Access",Laboratory,None,CRITICAL RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),65,59,Ceramic Containers,68,Fume Hood Ventilation,"Face Shield, Full Body Protective Suit, Safety Goggles",Outdoor Storage,Acid Spill,HIGH RISK
Chromic Acid (H₂CrO₄),93,48,Carbon Steel (coated),70,Industrial Ventilation System,"Chemical-resistant Gloves, Gloves, Full Body Protective Suit",Hazardous Material Room,Container Leakage,HIGH RISK
Maleic Acid (C₄H₄O₄),23,44,PVC (Polyvinyl Chloride),38,Fume Hood Ventilation,"Chemical Suit, Chemical-resistant Gloves, Eye Wash Station Access, Lab Coat, Respirator Mask",Warehouse,Toxic Gas Release,MEDIUM RISK
Peracetic Acid (C₂H₄O₃),145,71,Fiber-Reinforced Plastic (FRP),208,Good,"Lab Coat, Respirator Mask, Full Body Protective Suit, Chemical Suit, Face Shield",Factory Floor,Explosion Risk,CRITICAL RISK
Ascorbic Acid (C₆H₈O₆),431,107,Carbon Steel (coated),144,Good,"Lab Coat, Chemical Suit",Chemical Storage Room,Toxic Gas Release,CRITICAL RISK
Butyric Acid (C₄H₈O₂),328,111,Borosilicate Glass,235,Industrial Ventilation System,"Gloves, Safety Boots",Hazardous Material Room,Explosion Risk,CRITICAL RISK
Perchloric Acid (HClO₄),10,24,Borosilicate Glass,0,Low,"Full Body Protective Suit, Chemical-resistant Gloves, Lab Coat, Gloves",Cold Storage Unit,None,LOW RISK
Ascorbic Acid (C₆H₈O₆),107,42,PVC (Polyvinyl Chloride),85,Good,"Gloves, Chemical-resistant Gloves, Safety Goggles, Eye Wash Station Access, Chemical Suit",Hazardous Material Room,Explosion Risk,HIGH RISK
Formic Acid (HCOOH),10,15,HDPE Plastic,4,Poor,"Chemical Suit, Safety Goggles",Warehouse,Container Leakage,LOW RISK
Methacrylic Acid (C₄H₆O₂),7,23,PVC (Polyvinyl Chloride),3,Poor,"Respirator Mask, Eye Wash Station Access, Face Shield, Lab Coat",Warehouse,Toxic Gas Release,LOW RISK
Fumaric Acid (C₄H₄O₄),37,33,Borosilicate Glass,29,High,"Face Shield, Chemical-resistant Gloves, Chemical Suit",Cold Storage Unit,Fire Hazard,MEDIUM RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),15,15,Glass,15,Poor,"Chemical Suit, Face Shield, Safety Boots",Hazardous Material Room,Toxic Gas Release,LOW RISK
Chromic Acid (H₂CrO₄),93,42,Fiber-Reinforced Plastic (FRP),60,Good,Respirator Mask,Warehouse,Acid Burn,HIGH RISK
Chromic Acid (H₂CrO₄),51,44,Polypropylene,36,Fume Hood Ventilation,Face Shield,Cold Storage Unit,Container Leakage,MEDIUM RISK
Benzoic Acid (C₇H₆O₂),48,47,Stainless Steel,84,High,"Lab Coat, Chemical-resistant Gloves, Face Shield, Chemical Suit, Full Body Protective Suit",Underground Storage,Explosion Risk,HIGH RISK
Adipic Acid (C₆H₁₀O₄),110,60,PTFE (Teflon-lined),54,Fume Hood Ventilation,"Full Body Protective Suit, Respirator Mask, Chemical Suit, Safety Goggles",Chemical Storage Room,Acid Spill,HIGH RISK
Silicic Acid (H₄SiO₄),60,27,HDPE Plastic,13,Industrial Ventilation System,"Gloves, Safety Boots",Outdoor Storage,Corrosion Damage,MEDIUM RISK
Malic Acid (C₄H₆O₅),23,31,Fiber-Reinforced Plastic (FRP),13,Fume Hood Ventilation,"Safety Boots, Face Shield, Safety Goggles, Chemical-resistant Gloves",Underground Storage,Explosion Risk,MEDIUM RISK
Adipic Acid (C₆H₁₀O₄),13,29,Borosilicate Glass,4,Moderate,"Eye Wash Station Access, Chemical Suit",Underground Storage,Corrosion Damage,LOW RISK
Hydrochloric Acid (HCl),102,57,PTFE (Teflon-lined),72,Fume Hood Ventilation,"Safety Boots, Chemical Suit, Full Body Protective Suit",Laboratory,Corrosion Damage,HIGH RISK
Hydrofluoric Acid (HF),13,21,Glass,5,Moderate,"Safety Boots, Eye Wash Station Access, Safety Goggles, Gloves",Outdoor Storage,Explosion Risk,LOW RISK
Propionic Acid (C₃H₆O₂),427,111,Carbon Steel (coated),154,Fume Hood Ventilation,"Chemical-resistant Gloves, Face Shield, Safety Goggles, Safety Boots",Factory Floor,Corrosion Damage,CRITICAL RISK
Acetic Acid (CH₃COOH),172,119,Carbon Steel (coated),212,Moderate,"Gloves, Chemical Suit",Hazardous Material Room,None,CRITICAL RISK
Boric Acid (H₃BO₃),10,15,PVC (Polyvinyl Chloride),6,Low,"Lab Coat, Gloves, Respirator Mask, Face Shield",Laboratory,Corrosion Damage,LOW RISK
Citric Acid (C₆H₈O₇),12,30,Stainless Steel,4,Good,"Safety Boots, Chemical Suit, Face Shield",Hazardous Material Room,Acid Burn,LOW RISK
Iodic Acid (HIO₃),7,29,Borosilicate Glass,9,Low,Chemical Suit,Laboratory,Explosion Risk,LOW RISK
Tartaric Acid (C₄H₆O₆),143,79,Polypropylene,174,Good,"Safety Goggles, Full Body Protective Suit, Face Shield",Laboratory,Acid Burn,CRITICAL RISK
Methacrylic Acid (C₄H₆O₂),6,17,PVC (Polyvinyl Chloride),12,Moderate,"Eye Wash Station Access, Gloves, Face Shield, Safety Boots, Chemical-resistant Gloves",Chemical Storage Room,Container Leakage,LOW RISK
Pyruvic Acid (C₃H₄O₃),82,60,Polypropylene,50,Fume Hood Ventilation,Safety Goggles,Hazardous Material Room,Acid Spill,HIGH RISK
Adipic Acid (C₆H₁₀O₄),53,25,PTFE (Teflon-lined),11,Moderate,"Full Body Protective Suit, Face Shield, Lab Coat, Chemical-resistant Gloves",Warehouse,Container Leakage,MEDIUM RISK
Valeric Acid (C₅H₁₀O₂),133,60,HDPE Plastic,42,Moderate,"Safety Goggles, Eye Wash Station Access, Lab Coat, Face Shield",Cold Storage Unit,Acid Burn,HIGH RISK
Monochloroacetic Acid (C₂H₃ClO₂),158,51,Borosilicate Glass,44,Industrial Ventilation System,"Chemical Suit, Chemical-resistant Gloves, Lab Coat",Underground Storage,Container Leakage,HIGH RISK
Nitric Acid (HNO₃),12,21,Fiber-Reinforced Plastic (FRP),11,High,"Lab Coat, Chemical-resistant Gloves",Outdoor Storage,Container Leakage,LOW RISK
Arsenic Acid (H₃AsO₄),329,80,PVC (Polyvinyl Chloride),174,Industrial Ventilation System,"Safety Goggles, Chemical Suit, Respirator Mask, Gloves",Warehouse,None,CRITICAL RISK
Tartaric Acid (C₄H₆O₆),41,70,Ceramic Containers,80,Poor,"Chemical Suit, Safety Boots, Full Body Protective Suit, Face Shield, Eye Wash Station Access",Underground Storage,Corrosion Damage,HIGH RISK
Arsenic Acid (H₃AsO₄),62,40,Borosilicate Glass,52,Fume Hood Ventilation,"Chemical Suit, Respirator Mask, Eye Wash Station Access, Face Shield, Chemical-resistant Gloves",Factory Floor,Explosion Risk,HIGH RISK
Tartaric Acid (C₄H₆O₆),239,83,Ceramic Containers,173,Low,Lab Coat,Underground Storage,Explosion Risk,CRITICAL RISK
Perchloric Acid (HClO₄),57,66,Polypropylene,37,High,"Gloves, Safety Boots",Factory Floor,Corrosion Damage,HIGH RISK
Oxalic Acid (C₂H₂O₄),385,92,HDPE Plastic,92,Good,"Safety Goggles, Eye Wash Station Access",Laboratory,Acid Spill,CRITICAL RISK
Hydrofluoric Acid (HF),5,27,HDPE Plastic,12,Moderate,Lab Coat,Laboratory,Fire Hazard,LOW RISK
Hydrochloric Acid (HCl),8,21,Carbon Steel (coated),10,Moderate,"Safety Goggles, Safety Boots, Chemical-resistant Gloves",Outdoor Storage,Explosion Risk,LOW RISK
Caproic Acid (C₆H₁₂O₂),23,41,Borosilicate Glass,40,Fume Hood Ventilation,"Gloves, Lab Coat",Hazardous Material Room,Toxic Gas Release,MEDIUM RISK
Acrylic Acid (C₃H₄O₂),163,74,Fiber-Reinforced Plastic (FRP),149,High,Chemical Suit,Hazardous Material Room,None,CRITICAL RISK
Chloric Acid (HClO₃),38,28,PTFE (Teflon-lined),20,Industrial Ventilation System,"Lab Coat, Respirator Mask",Warehouse,Toxic Gas Release,MEDIUM RISK
Palmitic Acid (C₁₆H₃₂O₂),8,18,Glass,13,Good,"Chemical Suit, Face Shield, Chemical-resistant Gloves, Gloves",Laboratory,Acid Burn,LOW RISK
Tannic Acid (C₇₆H₅₂O₄₆),412,70,PTFE (Teflon-lined),80,Moderate,Safety Goggles,Warehouse,None,CRITICAL RISK
Chloric Acid (HClO₃),10,22,Fiber-Reinforced Plastic (FRP),1,Moderate,"Face Shield, Respirator Mask, Full Body Protective Suit, Eye Wash Station Access",Laboratory,Acid Spill,LOW RISK
Boric Acid (H₃BO₃),30,34,HDPE Plastic,31,Low,"Respirator Mask, Safety Boots",Underground Storage,Acid Spill,MEDIUM RISK
Lactic Acid (C₃H₆O₃),38,34,PTFE (Teflon-lined),13,Moderate,"Face Shield, Lab Coat, Chemical-resistant Gloves",Factory Floor,Fire Hazard,MEDIUM RISK
Tannic Acid (C₇₆H₅₂O₄₆),8,29,Stainless Steel,11,Good,"Safety Boots, Chemical Suit",Hazardous Material Room,Fire Hazard,LOW RISK
Butyric Acid (C₄H₈O₂),48,55,Stainless Steel,63,Fume Hood Ventilation,"Chemical Suit, Safety Boots",Laboratory,Corrosion Damage,HIGH RISK
Citric Acid (C₆H₈O₇),17,44,HDPE Plastic,39,Low,"Gloves, Eye Wash Station Access, Lab Coat",Underground Storage,None,MEDIUM RISK
Hydrochloric Acid (HCl),15,27,Ceramic Containers,8,Low,"Safety Goggles, Eye Wash Station Access, Lab Coat",Laboratory,Toxic Gas Release,LOW RISK
Salicylic Acid (C₇H₆O₃),122,78,Polypropylene,85,Industrial Ventilation System,"Chemical Suit, Respirator Mask, Gloves, Safety Goggles, Lab Coat",Hazardous Material Room,Acid Burn,HIGH RISK
Iodic Acid (HIO₃),46,72,PVC (Polyvinyl Chloride),98,High,"Eye Wash Station Access, Safety Goggles, Face Shield, Full Body Protective Suit, Gloves",Hazardous Material Room,Acid Spill,HIGH RISK
Adipic Acid (C₆H₁₀O₄),244,110,Polypropylene,166,Low,"Chemical-resistant Gloves, Safety Goggles, Full Body Protective Suit",Underground Storage,None,CRITICAL RISK
Propionic Acid (C₃H₆O₂),130,108,Polypropylene,116,Industrial Ventilation System,"Safety Goggles, Face Shield, Chemical-resistant Gloves",Chemical Storage Room,Explosion Risk,CRITICAL RISK
Arsenic Acid (H₃AsO₄),102,47,Ceramic Containers,89,Poor,"Lab Coat, Face Shield, Full Body Protective Suit",Factory Floor,Explosion Risk,HIGH RISK
Boric Acid (H₃BO₃),2,19,Ceramic Containers,8,Moderate,"Lab Coat, Gloves",Outdoor Storage,Fire Hazard,LOW RISK
Trifluoroacetic Acid (CF₃COOH),25,44,PTFE (Teflon-lined),20,Fume Hood Ventilation,"Face Shield, Chemical Suit, Chemical-resistant Gloves",Outdoor Storage,None,MEDIUM RISK
Boric Acid (H₃BO₃),72,76,Fiber-Reinforced Plastic (FRP),68,Low,"Safety Goggles, Full Body Protective Suit, Chemical Suit",Laboratory,Container Leakage,HIGH RISK
Citric Acid (C₆H₈O₇),44,36,PTFE (Teflon-lined),36,Low,"Chemical Suit, Eye Wash Station Access",Chemical Storage Room,Fire Hazard,MEDIUM RISK
Periodic Acid (HIO₄),48,58,PTFE (Teflon-lined),62,Poor,"Chemical-resistant Gloves, Chemical Suit, Safety Boots",Underground Storage,Container Leakage,HIGH RISK
Oxalic Acid (C₂H₂O₄),96,52,Ceramic Containers,55,Good,Gloves,Outdoor Storage,Acid Burn,HIGH RISK
Pyruvic Acid (C₃H₄O₃),7,27,Borosilicate Glass,5,Poor,Safety Goggles,Laboratory,Corrosion Damage,LOW RISK
Oleic Acid (C₁₈H₃₄O₂),6,15,Borosilicate Glass,3,Good,"Chemical Suit, Safety Goggles, Respirator Mask, Chemical-resistant Gloves, Face Shield",Warehouse,Container Leakage,LOW RISK
Trifluoroacetic Acid (CF₃COOH),10,15,PTFE (Teflon-lined),9,Good,"Chemical-resistant Gloves, Safety Goggles, Respirator Mask",Laboratory,Explosion Risk,LOW RISK
Arsenic Acid (H₃AsO₄),8,27,Carbon Steel (coated),12,Fume Hood Ventilation,Full Body Protective Suit,Laboratory,Acid Burn,LOW RISK
Periodic Acid (HIO₄),65,59,HDPE Plastic,88,Industrial Ventilation System,"Full Body Protective Suit, Safety Boots",Cold Storage Unit,None,HIGH RISK
Chloric Acid (HClO₃),8,16,Borosilicate Glass,9,High,"Lab Coat, Full Body Protective Suit",Chemical Storage Room,Container Leakage,LOW RISK
Pyruvic Acid (C₃H₄O₃),51,49,Stainless Steel,35,Moderate,"Safety Boots, Safety Goggles, Respirator Mask",Hazardous Material Room,None,HIGH RISK
Silicic Acid (H₄SiO₄),132,84,PTFE (Teflon-lined),109,Moderate,"Lab Coat, Chemical-resistant Gloves, Face Shield",Outdoor Storage,Corrosion Damage,CRITICAL RISK
Hydrofluoric Acid (HF),41,64,PTFE (Teflon-lined),98,Fume Hood Ventilation,"Gloves, Lab Coat, Eye Wash Station Access, Respirator Mask",Laboratory,Container Leakage,HIGH RISK
Silicic Acid (H₄SiO₄),12,38,PTFE (Teflon-lined),21,Good,"Face Shield, Chemical-resistant Gloves, Chemical Suit",Laboratory,Container Leakage,MEDIUM RISK
Salicylic Acid (C₇H₆O₃),52,41,Ceramic Containers,12,High,"Chemical Suit, Respirator Mask, Face Shield",Factory Floor,Toxic Gas Release,MEDIUM RISK
Malic Acid (C₄H₆O₅),19,35,Carbon Steel (coated),36,Low,"Gloves, Eye Wash Station Access, Full Body Protective Suit",Underground Storage,Acid Burn,MEDIUM RISK
Boric Acid (H₃BO₃),59,26,Fiber-Reinforced Plastic (FRP),29,Moderate,"Gloves, Eye Wash Station Access",Cold Storage Unit,Fire Hazard,MEDIUM RISK
Citric Acid (C₆H₈O₇),40,36,Borosilicate Glass,20,Moderate,Full Body Protective Suit,Warehouse,Container Leakage,MEDIUM RISK
Caproic Acid (C₆H₁₂O₂),41,34,Carbon Steel (coated),24,Poor,"Chemical-resistant Gloves, Gloves, Lab Coat, Face Shield, Eye Wash Station Access",Warehouse,Corrosion Damage,MEDIUM RISK
Periodic Acid (HIO₄),319,111,Polypropylene,111,Industrial Ventilation System,"Chemical Suit, Safety Goggles",Warehouse,None,CRITICAL RISK
Formic Acid (HCOOH),53,26,Polypropylene,32,Moderate,"Chemical Suit, Gloves",Chemical Storage Room,Acid Burn,MEDIUM RISK
Gluconic Acid (C₆H₁₂O₇),14,24,Stainless Steel,13,Moderate,"Respirator Mask, Face Shield",Cold Storage Unit,Container Leakage,LOW RISK
Oxalic Acid (C₂H₂O₄),151,77,Carbon Steel (coated),46,Good,"Lab Coat, Respirator Mask, Full Body Protective Suit, Safety Boots, Chemical Suit",Outdoor Storage,None,HIGH RISK
Nitric Acid (HNO₃),56,45,Fiber-Reinforced Plastic (FRP),21,Fume Hood Ventilation,"Face Shield, Full Body Protective Suit, Safety Boots, Chemical Suit",Warehouse,Fire Hazard,MEDIUM RISK
Hydrochloric Acid (HCl),10,36,Glass,40,Poor,"Safety Boots, Chemical-resistant Gloves, Respirator Mask, Gloves",Laboratory,Explosion Risk,MEDIUM RISK
Carbonic Acid (H₂CO₃),9,17,Fiber-Reinforced Plastic (FRP),12,Poor,"Respirator Mask, Gloves, Safety Goggles, Face Shield, Eye Wash Station Access",Warehouse,Acid Spill,LOW RISK
Propionic Acid (C₃H₆O₂),436,95,Fiber-Reinforced Plastic (FRP),231,Industrial Ventilation System,Chemical-resistant Gloves,Cold Storage Unit,Explosion Risk,CRITICAL RISK
Silicic Acid (H₄SiO₄),3,20,Polypropylene,15,High,"Respirator Mask, Eye Wash Station Access",Hazardous Material Room,Acid Burn,LOW RISK
Sulfamic Acid (H₃NSO₃),12,21,PTFE (Teflon-lined),10,Good,"Chemical-resistant Gloves, Face Shield, Full Body Protective Suit, Respirator Mask",Laboratory,Corrosion Damage,LOW RISK
Peracetic Acid (C₂H₄O₃),1,25,PVC (Polyvinyl Chloride),15,High,"Face Shield, Gloves",Chemical Storage Room,None,LOW RISK
Lactic Acid (C₃H₆O₃),8,23,Glass,10,Good,Gloves,Hazardous Material Room,Toxic Gas Release,LOW RISK
Periodic Acid (HIO₄),7,27,Polypropylene,4,Moderate,"Safety Boots, Full Body Protective Suit, Gloves, Chemical Suit, Chemical-resistant Gloves",Hazardous Material Room,Acid Spill,LOW RISK
